Id,description
2428,"Statistiche anno 23/24: nella scorsa stagione Sommer è andato a voto in 34 occasioni, tutte da titolare. Per lui 19 gol subiti, 1 rigore parato e 1 ammonizione con una MV del 6.12 e una FM del 5.63.
Gestione al Fantacalcio: si giocherà quasi sicuramente con Di Gregorio il ruolo di primo slot assoluto e portiere più pagato. Lui è più affidabile in termini di clean sheet, il portiere della Juve invece una sicurezza per il modificatore. Il prezzo sarà molto alto, ragion per cui nella maggior parte delle leghe vi consigliamo di completare il reparto con Martinez e Di Gennaro.
Note positive: affidabilissimo per clean sheet (19 nella scorsa stagione) e raramente insufficiente (3 volte sotto il 6).
Note negative: non un ""animale"" da modificatore (11 volte su 34 sopra la sufficienza, solo 2 volte sopra il 6.5)."
5876,"Statistiche anno 23/24: nella scorsa stagione Di Gregorio è andato a voto in 33 occasioni, tutte da titolare. Per lui 35 gol subiti e 2 rigori parati con una MV del 6.35 e una FM del 5.47.
Gestione al Fantacalcio: salto di livello per uno dei portieri più forti della Serie A. Arriva da una stagione impressionante, anche al Fantacalcio. Parliamo di un primo slot quasi assoluto, secondo forse solo a Sommer. Se utilizzate il modificatore difesa però non ci sono dubbi, lui è il migliore. Per evitare ogni dubbio, prendete anche Perin per coprirlo.
Note positive: letteralmente un ""animale"" da modificatore (18 volte sopra il 6, appena 3 insufficienze).
Note negative: occhio ai clean sheet, con la filosofia di Motta, potrebbero essere meno del previsto."
572,"Statistiche anno 23/24: nella scorsa stagione Meret è andato a voto in 31 occasioni, tutte da titolare. Per lui 40 gol subiti e 2 rigori parati con una MV del 6.06 e una FM del 4.97.
Gestione al Fantacalcio: ai nastri di partenza dovrebbe essere il portiere titolare del Napoli anche nella prossima stagione. Il suo vice sarà Caprile, portiere di buon livello che può dargli filo da torcere durante il campionato. Il consiglio è di prenderli entrambi per evitare rischi. Parliamo della coppia di una delle migliori squadre del campionato, a quel punto potreste poi completare il reparto con un portiere di medio-basso livello.
Note positive: dovrebbe essere il titolare del Napoli, ma sarà pagato meno degli altri portieri delle top. Con Conte ci aspettiamo tanti clean sheet.
Note negative: occhio alla concorrenza di Caprile. Non è un portiere da modificatore (solo 7 volte sopra la sufficienza)."
4312,"Statistiche anno 23/24: nella scorsa stagione Maignan è andato a voto in 29 occasioni, tutte da titolare. Per lui 34 gol subiti, 1 assist, 1 ammonizione e 1 espulsione con una MV del 6.05 e una FM del 4.86.
Gestione al Fantacalcio: ovviamente sarà il titolare in porta, senza alcun dubbio, ma occhio ai problemi fisici che spesso presenta. Noi vi consigliamo di coprirvi con Sportiello, anche a costo di spendere qualche credito in più per quest'ultimo, ma prenderlo è obbligatorio. Nonostante le condizioni fisiche spesso non perfette, Maignan resta un grande primo slot, soprattutto con il modificatore.
Note positive: portiere perfetto per il modificatore. Il gioco di Fonseca potrebbe esaltarlo, con i piedi è forte e potrebbe continuare a regalare qualche gioia in tal senso (2 assist nelle ultime 3 stagioni).
Note negative: si infortuna spesso (8 partite saltate per problemi fisici nella scorsa stagione, 16 nella season 22/23, 6 al primo anno in Serie A)."
5841,"Statistiche anno 23/24: nella scorsa stagione Svilar è andato a voto in 15 occasioni, tutte da titolare. Per lui 19 gol subiti, 1 rigore parato e 1 ammonizione con una MV del 6.47 e una FM del 5.37.
Gestione al Fantacalcio: a differenza della scorsa stagione, sarà il primo portiere indiscusso dei giallorossi nella prossima annata. Portiere completo che ovviamente va acquistato per il ruolo di titolare: occhio però, potrebbe rivelarsi un ottimo acquisto per rapporto qualità-prezzo.
Note positive: verrà pagato meno degli altri top, ottimo portiere per il modificatore (10 volte sopra la sufficienza, mai sotto il 6).
Note negative: non ci aspettiamo tantissimi clean sheet."
133,"Statistiche anno 23/24: nella scorsa stagione Skorupski è andato a voto in 32 occasioni, tutte da titolare. Per lui 2 ammonizioni, 1 rigore parato e 29 gol subiti con una MV del 6.17 e una FM del 5.33.
Gestione al Fantacalcio: nella scorsa stagione è stata una delle rivelazioni insieme al Bologna. Portiere affidabile sotto diversi aspetti e che non sarà pagato come i top. L'ideale è acquistarlo con un altro portiere di livello simile, in modo da poterli alternare anche in base al calendario. Concorrenza? Ravaglia ha dimostrato di poter essere all'altezza e il ballottaggio tra i due potrebbe ripresentarsi nel corso della stagione. Meglio prenderli in coppia per non correre rischi.
Note positive: molto affidabile sia in termini di clean sheet (13 nella scorsa stagione in 32 partite) sia per il modificatore (MV del 6.17, solo 2 insufficienze in 32 match).
Note negative: con il modo di giocare di Italiano potrebbe prendere qualche gol di troppo, penalizzando la statistica sui clean sheet."
2170,"Statistiche anno 23/24: nella scorsa stagione Milinkovic-Savic è andato a voto in 36 occasioni, tutte da titolare. Per lui 31 gol subiti e 2 ammonizioni con una MV del 6.12 e una FM del 5.24.
Gestione al Fantacalcio: con Vanoli in panchina le cose potrebbero cambiare. Da squadra rocciosa in difesa a compagine più offensiva e aperta. Insomma, potrebbe arrivare qualche gol subito in più e visto che Milinkovic-Savic non offre nemmeno grandissime garanzie per il modificatore, vi sconsigliamo di prenderlo come prima scelta in porta. Tuttavia può essere comunque un ottimo titolare a buon prezzo da alternare con un altro estremo difensore di livello simile.
Note positive: ci aspettiamo un prezzo non altissimo. In casa il Toro prende pochi gol (solo 9 reti subite tra le mura amiche sulle 31 della scorsa stagione).
Note negative: come accennato, con la nuova filosofia di gioco proposta da Vanoli potrebbe arrivare qualche gol subito in più rispetto alla scorsa stagione."
4431,"Statistiche anno 23/24: Carnesecchi ha preso voto in 27 partite, tutte da titolare. In totale ha subito 30 gol e parato 2 rigori dando vita ad una MV del 6.19 e ad una FM del 5.30.
Gestione al Fantacalcio: uno dei migliori in termini di media voto e dunque sicuramente ancor più adatto a chi utilizza il modificatore difesa. Il consiglio è di prenderlo in coppia con un portiere più affidabile in termini di clean sheet. Senza Musso, sarà lui il titolare in porta, senza discussioni.
Note positive: praticamente mai insufficiente (2 su 27 nella scorsa stagione), spesso sopra il 6 (11 volte su 27). Da modificatore.
Note negative: pochi clean sheet (8 su 27 nella scorsa stagione)."
2814,"Statistiche anno 23/24: nella scorsa stagione Provedel è andato a voto in 30 occasioni, 34 di queste da titolare. Per lui 33 gol subiti con una MV del 6.23 e una FM del 5.13.
Gestione al Fantacalcio: portiere titolare della Lazio, ma prendere Mandas come copertura è una scelta saggia. Una coppia affidabile a cui affiancare un portiere di una squadra di medio livello. Non lo pagherete come un top, ma garantisce un rendimento comunque sempre abbastanza alto, anche in termini di modificatore.
Note positive: affidabile per il modificatore (solo 3 insufficienze nella scorsa stagione, 13 volte sopra la sufficienza).
Note negative: nonostante Baroni in panchina, la Lazio sembrerebbe pronta a proporre un gioco abbastanza offensivo, dunque occhio ai clean sheet, potrebbero essere meno del previsto."
2815,"Statistiche anno 23/24: nella scorsa stagione Terracciano è andato a voto in 33 occasioni, tutte da titolare. Per lui 35 gol subiti, 1 rigore parato e 3 ammonizioni con una MV del 6.27 e una FM del 5.26.
Gestione al Fantacalcio: sorpresa gradita al Fanta nella scorsa stagione, sul suo cammino adesso troverà un ""ostacolo"" importante di nome De Gea. La Fiorentina ha deciso di investire sullo spagnolo e il ruolo di primo portiere potrebbe toccare a lui. Parte probabilmente leggermente dietro nelle gerarchie, ma troverà comunque spazio nel corso della stagione. Il consiglio è quello di prenderli insieme.
Note positive: Affidabile in termini di modificatore quando chiamato in causa (nell'ultima stagione 1 sola insufficienza, 12 volte sopra il 6).
Note negative: va comprato solo ed esclusivamente con De Gea."
